Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-06-30,1.0979722998142303,1.1144674538674135,1.0889751796719538,1.1039706468582153,418390000,0.0,0.0
2005-07-01,1.1045699504557607,1.108768692403339,1.0883746170327078,1.094672679901123,250000800,0.0,0.0
2005-07-05,1.0961730413403874,1.1441588317682723,1.0946732538944905,1.1390607357025146,454269200,0.0,0.0
2005-07-06,1.1309623846625396,1.1444579609113832,1.1156663037560464,1.1213648319244385,394626400,0.0,0.0
2005-07-07,1.103970601735175,1.1324615477584787,1.1036707845011555,1.1285635232925415,383723200,0.0,0.0
2005-07-08,1.1357606979463186,1.1480572061701502,1.1237641069988222,1.1471569538116455,290735200,0.0,0.0
2005-07-11,1.1507561190150775,1.1591536022317988,1.1330617011034116,1.1426583528518677,388788400,0.0,0.0
2005-07-12,1.146557306204237,1.151656199715448,1.1369606550517437,1.1468570232391357,387038400,0.0,0.0
2005-07-13,1.148357370327926,1.1546555354771417,1.1366605919969244,1.1501569747924805,684835200,0.0,0.0
2005-07-14,1.2233350174790178,1.2599237292042968,1.2065400480027566,1.2221349477767944,2096060400,0.0,0.0
2005-07-15,1.2287330336647653,1.2467279742760642,1.2134378496906646,1.2461284399032593,687682800,0.0,0.0
2005-07-18,1.2419292419599692,1.26262232992888,1.240729172595001,1.2443283796310425,586297600,0.0,0.0
2005-07-19,1.2452281636557132,1.2965133279829804,1.2317325841159201,1.2953133583068848,671062000,0.0,0.0
2005-07-20,1.2854157257382366,1.3136077475436605,1.2791175634785827,1.3085087537765503,453395600,0.0,0.0
2005-07-21,1.3106081170821546,1.320805203216096,1.2866156386473167,1.298311710357666,404264000,0.0,0.0
2005-07-22,1.3028116886683894,1.3196066617965698,1.3013119015322379,1.3196066617965698,301106400,0.0,0.0
2005-07-25,1.3193054137963984,1.3280035143341784,1.3115083663601683,1.313907504081726,294627200,0.0,0.0
2005-07-26,1.3199059098033143,1.3229045818288716,1.300411087983883,1.3085087537765503,268592800,0.0,0.0
2005-07-27,1.3145074006777517,1.3217057167801096,1.2797182924290451,1.3193057775497437,283749200,0.0,0.0
2005-07-28,1.315107036334062,1.3196063968391114,1.2986126846441128,1.3136080503463745,251311200,0.0,0.0
2005-07-29,1.3064098195449807,1.331002741453354,1.2674219662791373,1.2791179418563843,562080400,0.0,0.0
2005-08-01,1.2767181801807588,1.292013356635319,1.2620225378042558,1.2821168899536133,314249600,0.0,0.0
2005-08-02,1.2863162385430753,1.304610195198435,1.2779187532465899,1.2953133583068848,296875600,0.0,0.0
2005-08-03,1.2953130833645077,1.2989121907814818,1.2827168580934467,1.2962124347686768,258322400,0.0,0.0
2005-08-04,1.2863161179001494,1.2896147077965854,1.268321179318819,1.2809174060821533,269304000,0.0,0.0
2005-08-05,1.2743191478395932,1.3004109451433663,1.2602230383793416,1.2893145084381104,241931200,0.0,0.0
2005-08-08,1.2896148486922823,1.2971129825096583,1.2779187730091126,1.2791179418563843,176383200,0.0,0.0
2005-08-09,1.287514981371508,1.3163066360215046,1.2869154472084732,1.3142073154449463,380839200,0.0,0.0
2005-08-10,1.3196062533444544,1.3313022268861363,1.2989122605125358,1.3010116815567017,360945200,0.0,0.0
2005-08-11,1.3013119015322379,1.3232049696732862,1.2971131582501927,1.3196066617965698,271983600,0.0,0.0
2005-08-12,1.3034108666107829,1.3861858398597426,1.3004112931589247,1.3825874328613281,916036800,0.0,0.0
2005-08-15,1.3939838273110594,1.4494669321144966,1.393084475737467,1.4299730062484741,1086727600,0.0,0.0
2005-08-16,1.421275728457476,1.4245751194888263,1.3858861833622382,1.3870861530303955,537622400,0.0,0.0
2005-08-17,1.3915845006362166,1.422775298353727,1.3906842482311252,1.4140779972076416,499724400,0.0,0.0
2005-08-18,1.4068796058208586,1.4095785609839178,1.3720905032233341,1.388584852218628,442559600,0.0,0.0
2005-08-19,1.3879853623075145,1.400581688983313,1.372690180293724,1.3744897842407227,376569200,0.0,0.0
2005-08-22,1.3840867544159918,1.402081796949582,1.3573953092623634,1.3756892681121826,387732800,0.0,0.0
2005-08-23,1.3750894422098727,1.3825874751154912,1.3591938246744946,1.3717900514602661,295604400,0.0,0.0
2005-08-24,1.3675913061953242,1.4131779366701447,1.3672914889899064,1.372690200805664,572070800,0.0,0.0
2005-08-25,1.3831871954516328,1.3942836361549535,1.3738894578846828,1.3813875913619995,276253600,0.0,0.0
2005-08-26,1.383187109527644,1.3897849900736503,1.3603937942401834,1.3717900514602661,261058000,0.0,0.0
2005-08-29,1.357694691988758,1.3804880048123545,1.3573948748150906,1.3747894763946533,256295200,0.0,0.0
2005-08-30,1.3792881175386946,1.403280600380259,1.377188696456656,1.396682620048523,518761600,0.0,0.0
2005-08-31,1.4053797884042953,1.4104787824019267,1.3876854703768622,1.4062800407409668,402956400,0.0,0.0
2005-09-01,1.4095783617581306,1.4146773551469294,1.3822864941676585,1.3873854875564575,356367200,0.0,0.0
2005-09-02,1.3885850227636878,1.4035812888111097,1.3831871117746013,1.386185884475708,222378800,0.0,0.0
2005-09-06,1.4005817122864437,1.4659619844666583,1.396083152820695,1.4635628461837769,818619200,0.0,0.0
2005-09-07,1.471060919720777,1.4815578249989285,1.4371711658063384,1.4599636793136597,963074000,0.0,0.0
2005-09-08,1.4800584266179788,1.5031514641194816,1.473760261777429,1.4929543733596802,702640400,0.0,0.0
2005-09-09,1.5016511525855587,1.5400402632966232,1.4932536691348153,1.5388402938842773,615641600,0.0,0.0
2005-09-12,1.532542767418708,1.5484383884829487,1.5169477644745768,1.5415397882461548,452796400,0.0,0.0
2005-09-13,1.5301430141641725,1.5382407806636498,1.5091493052505858,1.5241447687149048,492884000,0.0,0.0
2005-09-14,1.5313430548570293,1.5352420817943142,1.4833580649940805,1.4878566265106201,474426400,0.0,0.0
2005-09-15,1.499552178029632,1.5049508904139384,1.4794586170076562,1.4956531524658203,415156000,0.0,0.0
2005-09-16,1.5064503909293998,1.5358415842056274,1.4980529071361919,1.5358415842056274,591004400,0.0,0.0
2005-09-19,1.5310423748334376,1.5862264499252667,1.5310423748334376,1.5787283182144165,783731200,0.0,0.0
2005-09-20,1.5892255381604534,1.613818357944723,1.5871261169231914,1.5952237844467163,819828800,0.0,0.0
2005-09-21,1.5883254170263885,1.5910243714474923,1.5553351264105941,1.5628323554992676,434747600,0.0,0.0
2005-09-22,1.5559353711209494,1.5736305937070303,1.539140401054975,1.556535005569458,463727600,0.0,0.0
2005-09-23,1.5625334247923361,1.6045209547045698,1.5547363741933005,1.5955238342285156,558457200,0.0,0.0
2005-09-26,1.6204164900682405,1.6363112085384262,1.599122959023246,1.614717960357666,546562800,0.0,0.0
2005-09-27,1.617116565179358,1.6267140172411578,1.602420920314544,1.6027207374572754,341703600,0.0,0.0
2005-09-28,1.5916244419797971,1.5928244113991605,1.5172469597946008,1.53194260597229,1125544000,0.0,0.0
2005-09-29,1.5364414696978868,1.5772289258693777,1.523845241949214,1.569731593132019,636846000,0.0,0.0
2005-09-30,1.5694313710466048,1.6090188448234628,1.5559348951060612,1.607819676399231,531633200,0.0,0.0
2005-10-03,1.624315118629266,1.6357113751195564,1.6099192887875313,1.6327126026153564,507553200,0.0,0.0
2005-10-04,1.6480080221094997,1.6600047155547504,1.608719551817743,1.6120189428329468,539459200,0.0,0.0
2005-10-05,1.6294127151155284,1.6303129672488308,1.5820273990026776,1.5829267501831055,610769600,0.0,0.0
2005-10-06,1.595522683910898,1.6042199808591,1.5256438906489007,1.5505365133285522,757537200,0.0,0.0
2005-10-07,1.5511371684064308,1.5574352324292604,1.516047339628568,1.5385408401489258,677882800,0.0,0.0
2005-10-10,1.5523358846651505,1.5568353445525571,1.5079493290276966,1.5106490850448608,507505600,0.0,0.0
2005-10-11,1.5364414877359545,1.5556355967603415,1.51154874906944,1.5472381114959717,1225884800,0.0,0.0
2005-10-12,1.459063736349951,1.5085493733955668,1.4356708955918862,1.4770587682724,2697486400,0.0,0.0
2005-10-13,1.4827569597703516,1.6180169559893296,1.4776587662154075,1.6117188930511475,1865575600,0.0,0.0
2005-10-14,1.6204157903993814,1.6300124406378618,1.5832266559885435,1.6195155382156372,1035552000,0.0,0.0
2005-10-17,1.6189161687769815,1.6264143002043172,1.5799282278326798,1.6027207374572754,616834400,0.0,0.0
2005-10-18,1.5970235376248834,1.6180172514286475,1.565532916866275,1.5658327341079712,609588000,0.0,0.0
2005-10-19,1.561633679678156,1.6483075735116668,1.535841593777802,1.6477079391479492,1008683200,0.0,0.0
2005-10-20,1.6336115902484745,1.6944934857474836,1.6300124834307397,1.6836968660354614,1357762000,0.0,0.0
2005-10-21,1.7046909321420463,1.7088897744411768,1.6603043719650166,1.6693013906478882,796726000,0.0,0.0
2005-10-24,1.657005112579522,1.7031912803649902,1.652206735603711,1.7031912803649902,609753200,0.0,0.0
2005-10-25,1.6914951826513402,1.7049906607135301,1.6702016543407419,1.682497262954712,465127600,0.0,0.0
2005-10-26,1.6878957803069714,1.7262839901789593,1.6770991588466617,1.7103893756866455,631593200,0.0,0.0
2005-10-27,1.7091895331979647,1.7097891676149217,1.66180419921875,1.66180419921875,411541200,0.0,0.0
2005-10-28,1.6806985535241281,1.6923945276870214,1.6246150179959717,1.633612036705017,769787200,0.0,0.0
2005-10-31,1.6555057707862604,1.738880268196508,1.6420092935867157,1.7271842956542969,940844800,0.0,0.0
2005-11-01,1.7166871582265886,1.743679107898224,1.7055898204546505,1.7244842052459717,749686000,0.0,0.0
2005-11-02,1.7310837729600395,1.7994629294177604,1.7274845644020613,1.7979631423950195,857060400,0.0,0.0
2005-11-03,1.8072607917048495,1.8690419667781473,1.8015621615773578,1.8549468517303467,884382800,0.0,0.0
2005-11-04,1.8099592810688048,1.8366517208464312,1.7880663189904848,1.8339526653289795,878035200,0.0,0.0
2005-11-07,1.8249544759609262,1.849547490979342,1.8036609512140416,1.8063600063323975,638831200,0.0,0.0
2005-11-08,1.7979625944602515,1.8108594375272118,1.7724702270796808,1.7964636087417603,473765600,0.0,0.0
2005-11-09,1.7994628596964972,1.8357516578427062,1.7994628596964972,1.8027621507644653,552930000,0.0,0.0
2005-11-10,1.8186562918973876,1.8354512568473318,1.769771183453392,1.834851622581482,665344400,0.0,0.0
2005-11-11,1.845647931098938,1.8627428104010522,1.839649587335571,1.845647931098938,425448800,0.0,0.0
2005-11-14,1.8456482451406269,1.8588442032418777,1.8267540597063507,1.842949390411377,369933200,0.0,0.0
2005-11-15,1.8474487319744417,1.8918353009221422,1.8432498888456306,1.8678429126739502,536841200,0.0,0.0
2005-11-16,1.8939336067343384,1.951216188264841,1.8921339033846558,1.9479176998138428,784515200,0.0,0.0
2005-11-17,1.9671117767364426,1.97580917492491,1.9269238748424602,1.9350216388702393,676205600,0.0,0.0
